mcId,mcTitle,keyPhrases,description
101,Ремонт квартир и домов под ключ,ремонт под ключ; комплексный ремонт; полный ремонт квартиры; ремонт квартиры под ключ; ремонт дома под ключ; ремонт коттеджа под ключ; капитальный ремонт под ключ; косметический ремонт под ключ; комплексная отделка; полная отделка квартиры; ремонт помещений под ключ; весь цикл ремонта; ремонт от демонтажа до чистовой; ремонт с нуля под ключ; ремонт вторички под ключ; ремонт новостройки под ключ; ремонт офиса под ключ; ремонт комнаты под ключ; ремонт кухни под ключ; ремонт ванной под ключ; комплекс работ по ремонту; ремонт с материалами; ремонт без посредников под ключ; ремонт с дизайн проектом; ремонт с черновой и чистовой отделкой; сдаем объект под ключ; ведем ремонт полностью; выполняем весь комплекс работ; берем объект целиком; ремонт под сдачу; ремонт для проживания под ключ; отделка под ключ; полное обновление квартиры; ремонт жилья под ключ; комплексный ремонт квартиры; комплексный ремонт дома; ремонт под ключ с гарантией; ремонт квартиры полностью; полный цикл отделочных работ; генподряд на ремонт; ремонт помещения целиком; комплексная переделка квартиры; ремонт с инженерией и отделкой; комплексный ремонт санузла и кухни; ремонт объекта полностью,Комплексный ремонт объекта целиком
102,Сантехника,сантехника; сантехнические работы; услуги сантехника; вызов сантехника; разводка труб; разводка воды; разводка канализации; монтаж водоснабжения; монтаж канализации; замена труб; пайка труб; полипропиленовые трубы; металлопластиковые трубы; прокладка труб; перенос труб; установка сантехники; монтаж сантехники; подключение сантехники; установка унитаза; установка инсталляции; монтаж инсталляции; установка раковины; установка мойки; установка ванны; установка душевой кабины; установка душевого уголка; установка смесителя; замена смесителя; установка полотенцесушителя; замена полотенцесушителя; подключение стиральной машины; подключение посудомоечной машины; монтаж бойлера; установка водонагревателя; ремонт сантехники; замена сифона; установка фильтров воды; монтаж коллектора воды; опрессовка труб; устранение протечки; ремонт унитаза; замена стояка; разводка в санузле; сборка сантехнического шкафа; замена арматуры бачка,Сантехнические работы
103,Электрика,электрика; электромонтажные работы; услуги электрика; вызов электрика; замена проводки; полная замена проводки; черновая электрика; монтаж электрики; разводка электрики; прокладка кабеля; штробление под проводку; перенос розеток; установка розеток; замена розеток; установка выключателей; замена выключателей; монтаж светильников; подключение светильников; установка люстры; подключение люстры; монтаж бра; монтаж трековых светильников; сборка электрощита; монтаж щита; замена автомата; установка автоматов; замена УЗО; подключение варочной панели; подключение духового шкафа; подключение электроплиты; вывод под кондиционер; вывод кабеля под технику; монтаж слаботочки; интернет кабель; тв кабель; подсветка потолка; монтаж теплого пола электрического; поиск неисправности электрики; ремонт электрики; диагностика электрики; заземление; монтаж распределительных коробок; сборка схемы освещения; электрика в новостройке; электрика в квартире; электрика под ключ,Электромонтажные работы
104,Натяжные потолки,натяжные потолки; монтаж натяжных потолков; установка натяжных потолков; потолки ПВХ; тканевые потолки; сатиновые потолки; матовые потолки; глянцевые потолки; многоуровневые потолки; теневой потолок; парящий потолок; натяжной потолок с подсветкой; потолок со световыми линиями; потолок с треками; монтаж профиля потолка; установка багета; обход труб на потолке; слив воды с потолка; ремонт натяжного потолка; замена полотна потолка; перетяжка потолка; демонтаж натяжного потолка; установка точечных светильников в потолок; врезка светильников; обход карниза; скрытый карниз в потолке; ниша под шторы; фотопечать на потолке; потолок в ванной; потолок на кухне; потолок в комнате; потолок в коридоре; натяжной потолок под ключ; монтаж потолка за 1 день; еврокраб потолок; контурная подсветка потолка; монтаж закладных под светильники; установка вентиляционных решеток в потолок; натяжной потолок после залива; устранение пореза потолка; спайка полотен; бесщелевой потолок; резной потолок; световой потолок; монтаж потолка в новостройке,Монтаж и обслуживание натяжных потолков
105,Укладка плитки,укладка плитки; плиточные работы; плиточник; услуги плиточника; укладка керамогранита; укладка кафеля; укладка плитки на пол; укладка плитки на стены; облицовка плиткой; облицовка санузла; фартук из плитки; плитка на кухне; плитка в ванной; плитка в туалете; укладка мозаики; запил плитки под 45; резка плитки; сверление плитки; затирка швов; эпоксидная затирка; выравнивание стен под плитку; подготовка пола под плитку; укладка крупноформатной плитки; укладка плитки 120х60; укладка керамогранита 60х60; укладка плитки елочкой; декоративная раскладка плитки; монтаж теплого пола под плитку; демонтаж старой плитки; перекладка плитки; ремонт плиточного покрытия; облицовка фартука; облицовка душевой; укладка плитки на балконе; укладка клинкера; облицовка ступеней плиткой; плитка на лестнице; плитка по диагонали; установка люков под плитку; формирование коробов под плитку; гидроизоляция под плитку; подрезка керамогранита; укладка керамической плитки; облицовка пола керамогранитом; плиточные работы под ключ,Плиточные работы
106,Поклейка обоев,поклейка обоев; клеим обои; поклеить обои; обойные работы; оклейка стен обоями; обои под покраску; флизелиновые обои; виниловые обои; бумажные обои; текстильные обои; фотообои; поклейка фотообоев; стыковка рисунка обоев; подбор рисунка обоев; демонтаж старых обоев; снятие обоев; подготовка стен под обои; шпаклевка под обои; грунтовка стен под обои; поклейка обоев в комнате; поклейка обоев в квартире; поклейка обоев на кухне; поклейка обоев в спальне; поклейка обоев в новостройке; переклейка обоев; ремонт обоев; подклейка обоев; обои в коридоре; обои в детской; панно из обоев; декоративные обои; широкие обои; метровые обои; без видимых швов; поклейка стеклообоев; стеклохолст под покраску; выравнивание стен под обои; устранение пузырей на обоях; оклейка потолка обоями; поклейка обоев после штукатурки; поклейка обоев после шпаклевки; малярный флизелин; оклейка ниш и откосов; подрезка обоев у плинтуса; обои под ключ,Работы по поклейке обоев
107,Малярные работы,малярные работы; покраска стен; покраска потолка; покраска откосов; покраска дверей; покраска радиаторов; покраска труб; покраска деревянных поверхностей; покраска металлоконструкций; покраска в квартире; окраска стен; окраска потолков; подготовка под покраску; шпаклевка стен; шпаклевка потолка; финишная шпаклевка; стартовая шпаклевка; шлифовка стен; шлифовка потолка; грунтовка стен; грунтовка потолка; покраска в два слоя; безвоздушная покраска; покраска валиком; покраска кистью; колеровка краски; декоративная покраска; нанесение краски; перекраска стен; освежить интерьер краской; антивандальная краска; моющаяся краска; подготовка стен после обоев; заделка трещин; ремонт сколов на стенах; окраска после шпаклевки; покраска офисов; покраска помещений; побелка потолка; малярка под ключ; выведение углов под покраску; стеклохолст под покраску; покраска гипсокартона; финишная отделка под покраску; покраска после ремонта,Покраска и сопутствующие малярные работы
108,Штукатурные работы,штукатурные работы; штукатурка стен; штукатурка потолка; выравнивание стен; выравнивание потолка; штукатурка по маякам; механизированная штукатурка; ручная штукатурка; цементная штукатурка; гипсовая штукатурка; черновая штукатурка; финишная штукатурка; заштукатурить стены; подготовка стен под обои; подготовка стен под покраску; выведение углов; геометрия стен; штукатурка откосов; штукатурка дверных проемов; штукатурка оконных откосов; ремонт штукатурки; восстановление штукатурного слоя; штукатурка кирпичных стен; штукатурка бетонных стен; штукатурка газобетона; армирование сеткой; установка маяков; снятие старой штукатурки; заделка штроб; заделка трещин штукатуркой; машинная штукатурка квартиры; штукатурка санузла; штукатурка кухни; штукатурка в новостройке; штукатурка под плитку; штукатурка под покраску; штукатурка под обои; грубое выравнивание стен; нивелирование перепадов; подрезка наплывов; обрызг грунт накрывка; монолитная штукатурка; оштукатуривание помещений; штукатурка потолка по сетке; черновая отделка стен,Штукатурка и выравнивание поверхностей
109,Напольные покрытия,напольные покрытия; укладка ламината; укладка кварцвинила; укладка линолеума; укладка паркетной доски; укладка инженерной доски; укладка виниловой плитки; укладка SPC; укладка ПВХ плитки; монтаж плинтуса; установка плинтусов; подложка под ламинат; подготовка пола; выравнивание пола; настил пола; замена напольного покрытия; демонтаж старого пола; снятие линолеума; снятие ламината; укладка ковролина; ковровое покрытие; ремонт пола; ремонт скрипящего пола; наливной пол; самовыравнивающийся пол; стяжка пола; сухая стяжка; монтаж теплого пола; пленочный теплый пол; электрический теплый пол; укладка пробки; укладка массива; ламинат елочкой; укладка пола в квартире; укладка пола в комнате; замена порожков; монтаж порожка; резка ламината; подгонка покрытия; укладка замкового кварцвинила; укладка клеевого кварцвинила; плавающий способ укладки; монтаж OSB на пол; настил фанеры на пол; укладка покрытия под ключ,Монтаж и замена напольных покрытий
110,Гипсокартон,гипсокартон; работы с гипсокартоном; монтаж гипсокартона; обшивка гипсокартоном; гкл; гвл; перегородки из гипсокартона; монтаж перегородок; короб из гипсокартона; потолок из гипсокартона; ниши из гипсокартона; арки из гипсокартона; обшивка стен гкл; выравнивание стен гипсокартоном; каркас под гипсокартон; металлокаркас под гкл; шумоизоляция перегородок; утепление стен с гкл; двухуровневый потолок гкл; монтаж откосов из гкл; зашивка инсталляции гипсокартоном; зашивка труб гипсокартоном; короб под подсветку; потолочные конструкции гкл; монтаж люка в короб; ниша под шторы из гипсокартона; монтаж профилей; обшивка потолка гкл; подвесной потолок из гипсокартона; перегородка для зонирования; перегородка в комнате; фальшстена из гипсокартона; декоративные конструкции из гкл; монтаж криволинейных конструкций; гипсокартон в санузле; влагостойкий гипсокартон; огнестойкий гипсокартон; облицовка стен гкл; звукоизоляционная перегородка; усиление каркаса; шпаклевка швов гипсокартона; серпянка на швы гкл; монтаж потолка под покраску; гипсокартон под ключ; монтаж перегородок под ключ,Монтаж конструкций из гипсокартона
111,Демонтажные работы,демонтажные работы; демонтаж; разборка; снос перегородок; демонтаж стен; демонтаж перегородок; демонтаж плитки; сбивка плитки; демонтаж штукатурки; снятие обоев; демонтаж ламината; демонтаж линолеума; демонтаж паркета; снятие напольного покрытия; демонтаж сантехники; демонтаж ванны; демонтаж унитаза; демонтаж раковины; демонтаж дверей; демонтаж дверных коробок; демонтаж окон; демонтаж потолка; демонтаж натяжного потолка; демонтаж гипсокартона; разбор коробов; демонтаж стяжки; снятие старой краски; очистка стен до основания; вынос мусора после демонтажа; упаковка строительного мусора; резка перегородок; алмазная резка проемов; демонтаж кухни; разбор мебели; подготовка квартиры к ремонту; полный демонтаж квартиры; частичный демонтаж; демонтаж в санузле; демонтаж в ванной; демонтаж фартука; снятие плинтусов; демонтаж откосов; снос ненесущих стен; очистка потолка; демонтаж отделки под ключ; демонтаж под ремонт,Разборка и демонтаж конструкций и отделки
